repository	commit	branch	license	selected
openbao/openbao	73f12f3805a5b679475a77bb8f471d68af4b9c3a	main	MPL-2.0	1
hashicorp/vault	8f504223e48512ab20d473d7c7dc4d71c9168a0d	main	NOASSERTION	4
hashicorp/consul	f69ddcffa8cb0abc24664641ebfbaf865ddf91a7	main	NOASSERTION	3
hashicorp/nomad	d4a17d26a66d3abbf16ff82ed8cbcfe0e86e1ca4	main	NOASSERTION	4
hashicorp/packer	65f0fb3ff27433815f9e44854c780461c31b7903	main	NOASSERTION	1
grafana/loki	d0822bcc3c355d886d07920023cedd7f53408898	main	AGPL-3.0	6
prometheus-operator/prometheus-operator	d7d70ebb896b1d655c1d7d88ae11a1ce6ba5b80c	main	Apache-2.0	2
containrrr/watchtower	ca0e86e824ec05389ab972ea97d04d4bf0476e90	main	Apache-2.0	2
nodejs/docker-node	7abd07279035664febf8d7e995e7f3a2334b28f6	main	MIT	10
docker-library/python	f3d4e7c4e6d553fa55e9a95871d8ee4bf9d814f8	master	MIT	10
docker-library/golang	127caaa4562fc72d54cf0ccab37f55dc8c805a34	master	BSD-3-Clause	10
devcontainers/images	40563ff22a4b7b75c96927f749fa45af8b287ea6	main	MIT	9
dotnet/dotnet-docker	cbbef15bee70061b529b71a91f072dbe36fa3ddb	main	MIT	11
nginxinc/docker-nginx	e0f008fab4e1ce252c9451590c6a2aff305dd03c	master	BSD-2-Clause	8
nginx/docker-nginx-unprivileged	e26803b6ff7ca01455284231c59f20cb5e3ae82e	main	Apache-2.0	6
redis/docker-library-redis	2ac6f46c6ba6f3ece54183a518a2bfd865390368	master	BSD-3-Clause	7
rabbitmq/rabbitmq-server	547fe8153eda68e06e75520c7a22793520d68e41	main	NOASSERTION	1
mysql/mysql-docker	405ba27ee52c8cc865116d29c38643dcce1215b6	main	NOASSERTION	6
confluentinc/cp-docker-images	027755d5b25afc4a9ad48dba10108eac8ea56839	5.3.3-post	Apache-2.0	8
clickhouse/clickhouse	1f38f49fe07c87bbb70a175239139626b801ae5f	master	Apache-2.0	8
cockroachdb/cockroach	144a7b9cc2dfe90f3539e0e0bf4d72c41ccef1b7	master	NOASSERTION	5
keycloak/keycloak	33695405ea86a5741dbe07f406b10a02aacb5a4b	main	Apache-2.0	2
milvus-io/milvus	42f6bcb69a094aa1c3bca4f48518aae29b6bce23	master	Apache-2.0	6
qdrant/qdrant	db8fa43fcb6aedec1e739487e17a99731b74590a	master	Apache-2.0	1
weaviate/weaviate	f10ec00004eaf12668c9b6a47e4f5ff046fbb8f6	main	BSD-3-Clause	1
microsoft/playwright	449349caea6d1c81dc8b6a6f447cf9bfca6b1350	main	Apache-2.0	3
google/osv-scanner	c4a9148518fcca624f528f814fa7b538daceb08e	main	Apache-2.0	1
GoogleCloudPlatform/cloud-builders	b70cb2afa75d0aae29cb2c91d9cdec3dd1c2e957	master	Apache-2.0	6
openzipkin/zipkin	878ce2a1fad54ca941d17fdcf2e1d924b148eb1f	master	Apache-2.0	4
